"ProjectName","RepositoryName","RepositoryId","AlertId","AlertType","Title","Severity","State","Tool","FirstDetectionDate","LastDetectionDate","IntroductionDate","GitRef","Confidence"
"FinOps","finops-demo-app-001","bd146626-b85d-4a96-96a3-c483584174fe","1545","code","Ensure default network access rule for Storage Accounts is set to deny (Ensure default network access rule for Storage Accounts is set to deny)","error","active","Checkov","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM","2026-03-30 8:55:36 PM","refs/heads/main",
"FinOps","finops-demo-app-001","bd146626-b85d-4a96-96a3-c483584174fe","1544","code","Ensure the App Service Plan is zone redundant (Ensure the App Service Plan is zone redundant)","error","active","Checkov","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM","2026-03-30 8:55:36 PM","refs/heads/main",
"FinOps","finops-demo-app-001","bd146626-b85d-4a96-96a3-c483584174fe","1543","code","Ensure that Azure Web App public network access is disabled (Ensure that Azure Web App public network access is disabled)","error","active","Checkov","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM","2026-03-30 8:55:36 PM","refs/heads/main",
"FinOps","finops-demo-app-001","bd146626-b85d-4a96-96a3-c483584174fe","1542","code","Ensure that App Service configures health check (Ensure that App Service configures health check)","error","active","Checkov","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM","2026-03-30 8:55:36 PM","refs/heads/main",
"FinOps","finops-demo-app-001","bd146626-b85d-4a96-96a3-c483584174fe","1541","code","Ensure App Service has a minimum number of instances for failover (Ensure App Service has a minimum number of instances for failover)","error","active","Checkov","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM","2026-03-30 8:55:36 PM","refs/heads/main",
"FinOps","finops-demo-app-001","bd146626-b85d-4a96-96a3-c483584174fe","1540","code","Ensure that Storage Accounts use replication (Ensure that Storage Accounts use replication)","error","active","Checkov","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM","2026-03-30 8:55:36 PM","refs/heads/main",
"FinOps","finops-demo-app-001","bd146626-b85d-4a96-96a3-c483584174fe","1539","code","Ensure that &#39;HTTP Version&#39; is the latest if used to run the web app (Ensure that &#39;HTTP Version&#39; is the latest if used to run the web app)","error","active","Checkov","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM","2026-03-30 8:55:36 PM","refs/heads/main",
"FinOps","finops-demo-app-001","bd146626-b85d-4a96-96a3-c483584174fe","1538","code","Ensure the web app has &#39;Client Certificates (Incoming client certificates)&#39; set (Ensure the web app has &#39;Client Certificates (Incoming client certificates)&#39; set)","error","active","Checkov","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM","2026-03-30 8:55:36 PM","refs/heads/main",
"FinOps","finops-demo-app-001","bd146626-b85d-4a96-96a3-c483584174fe","1537","code","Ensure that Register with Azure Active Directory is enabled on App Service (Ensure that Register with Azure Active Directory is enabled on App Service)","error","active","Checkov","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM","2026-03-30 8:55:36 PM","refs/heads/main",
"FinOps","finops-demo-app-002","27785941-a1ad-4c9b-bd5f-3f135bb0c4a4","1536","code","Deploy app service plan instances using availability zones in supported regions to ensure high availability and resilience. (Azure.AppService.AvailabilityZone)","error","active","PSRule","2026-03-30 8:55:54 PM","2026-03-30 8:55:54 PM",,"refs/heads/main",
"FinOps","finops-demo-app-002","27785941-a1ad-4c9b-bd5f-3f135bb0c4a4","1535","code","Enable container soft delete on Storage Accounts. (Azure.Storage.ContainerSoftDelete)","error","active","PSRule","2026-03-30 8:55:54 PM","2026-03-30 8:55:54 PM",,"refs/heads/main",
"FinOps","finops-demo-app-002","27785941-a1ad-4c9b-bd5f-3f135bb0c4a4","1534","code","Storage Accounts should only accept explicitly allowed traffic. (Azure.Storage.Firewall)","error","active","PSRule","2026-03-30 8:55:54 PM","2026-03-30 8:55:54 PM",,"refs/heads/main",
"FinOps","finops-demo-app-002","27785941-a1ad-4c9b-bd5f-3f135bb0c4a4","1533","code","Storage Accounts should not accept weak or deprecated transport protocols for client-server communication. (Azure.Storage.MinTLS)","error","active","PSRule","2026-03-30 8:55:54 PM","2026-03-30 8:55:54 PM",,"refs/heads/main",
"FinOps","finops-demo-app-002","27785941-a1ad-4c9b-bd5f-3f135bb0c4a4","1532","code","Storage Accounts should only accept authorized requests. (Azure.Storage.BlobPublicAccess)","error","active","PSRule","2026-03-30 8:55:54 PM","2026-03-30 8:55:54 PM",,"refs/heads/main",
"FinOps","finops-demo-app-002","27785941-a1ad-4c9b-bd5f-3f135bb0c4a4","1531","code","Enable blob soft delete on Storage Accounts. (Azure.Storage.SoftDelete)","error","active","PSRule","2026-03-30 8:55:54 PM","2026-03-30 8:55:54 PM",,"refs/heads/main",
"FinOps","finops-demo-app-002","27785941-a1ad-4c9b-bd5f-3f135bb0c4a4","1530","code","Disable client affinity for stateless services. (Azure.AppService.ARRAffinity)","error","active","PSRule","2026-03-30 8:55:54 PM","2026-03-30 8:55:54 PM",,"refs/heads/main",
"FinOps","finops-demo-app-002","27785941-a1ad-4c9b-bd5f-3f135bb0c4a4","1529","code","Configure managed identities to access Azure resources. (Azure.AppService.ManagedIdentity)","error","active","PSRule","2026-03-30 8:55:54 PM","2026-03-30 8:55:54 PM",,"refs/heads/main",
"FinOps","finops-demo-app-002","27785941-a1ad-4c9b-bd5f-3f135bb0c4a4","1528","code","Web apps should disable insecure FTP and configure SFTP when required. (Azure.AppService.WebSecureFtp)","error","active","PSRule","2026-03-30 8:55:54 PM","2026-03-30 8:55:54 PM",,"refs/heads/main",
